기관코드,상위기관코드,부서여부,기관명,영문기관명,팩스번호,홈페이지주소,상세주소,통계작성여부,표준통계작성기관여부,설립근거유형,설립근거명,기관유형코드,기관유형명,서비스여부
106039,106,Y,환경부 국가미세먼지정보센터,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
106040,106,Y,환경부 환경조사담당관실,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
106041,106,Y,물통합정책국 물이용기획과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
106042,106,Y,환경부 자연환경정책실 녹색전환정책관 녹색산업혁신과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
106043,106,Y,환경부 녹색전환정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
107,,N,국정홍보처,Government Information Agency,,www.allim.go.kr,서울 종로구 세종로 55(정부중앙청사),N,Y,,,1211011,중앙행정기관,Y
108,,N,법제처,Ministry of Government Legislation,,https://www.moleg.go.kr,서울 종로구 세종로 55(정부중앙청사),N,Y,,,1211011,중앙행정기관,Y
109,,N,국가보훈부,,,https://www.mpva.go.kr/,,N,N,21101111,설립근거,1211011,중앙행정기관,Y
109001,109,Y,국가보훈처 보상급여과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
109002,109,Y,국가보훈처 심사정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
109003,109,Y,국가보훈처 현충시설과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
109004,109,Y,국가보훈처 제대군인취업과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
109005,109,Y,국가보훈처 국가보훈처,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
109006,109,Y,보훈선양국 나라사랑정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
109007,109,Y,보훈선양국 기념사업과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
109008,109,Y,보훈선양국 공훈심사과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
109009,109,Y,보훈선양국 국립묘지정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
109010,109,Y,보훈선양국 나라사랑교육과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
109011,109,Y,제대군인국 제대군인정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
109012,109,Y,제대군인국 제대군인취업과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
109013,109,Y,제대군인국 제대군인지원과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
109014,109,Y,기획조정관 기획재정담당관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
109015,109,Y,기획조정관 행정관리담당관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
109016,109,Y,기획조정관 규제개혁법무담당관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
109017,109,Y,기획조정관 정보화팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
109018,109,Y,보상정책국 보상정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
109019,109,Y,보상정책국 등록관리과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
109020,109,Y,보상정책국 단체협력과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
109021,109,Y,복지증진국 복지정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
109022,109,Y,복지증진국 복지운영과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
109023,109,Y,복지증진국 보훈의료과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
109024,109,Y,복지증진국 생활안정과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
109025,109,Y,기획조정관 정보화담당관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110,,N,행정안전부,Ministry of the Interior and Safety,,https://www.mois.go.kr/,,N,N,21101111,설립근거,1211011,중앙행정기관,Y
110000,110,Y,행정자치부 기타,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110001,110,Y,행정자치부 구조구급팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110002,110,Y,행정자치부 화재조사분석팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110003,110,Y,행정자치부 인사과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110004,110,Y,행정자치부 지방세정팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110005,110,Y,행정자치부 지적담당관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110006,110,Y,행정자치부 교부세팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110007,110,Y,행정자치부 부동산정보관리센터,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110008,110,Y,행정자치부 균형발전팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110009,110,Y,행정자치부 지적팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110010,110,Y,행정안전부 지역일자리경제과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110011,110,Y,행정자치부 수집기획팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110012,110,Y,행정자치부 균형발전팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110013,110,Y,행정자치부 소방행정과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110014,110,Y,행정자치부 정보기획팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110015,110,Y,행정자치부 제도혁신팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110016,110,Y,행정자치부 지식행정팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110017,110,Y,행정자치부 성과조직팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110018,110,Y,행정자치부 조직기획팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110019,110,Y,행정자치부 근무지원팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110020,110,Y,행정자치부 지방세정팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110021,110,Y,행정자치부 지방재정세제국재정경제과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110022,110,Y,행정자치부 교부세팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110023,110,Y,행정자치부 지방세정팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110024,110,Y,행정자치부 지적팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110025,110,Y,행정자치부 지방조직발전팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110026,110,Y,행정자치부 지역경제공기업팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110027,110,Y,행정자치부 지역발전정책팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110028,110,Y,행정자치부 행정관리담당관실,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110029,110,Y,성과후생관 균형인사정보과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110030,110,Y,자치제도정책관 주민과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110031,110,Y,지방행정정책관 사회통합지원과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110032,110,Y,지역경제지원관 공기업지원과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110033,110,Y,인사정책관 인사정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110034,110,Y,지방세제정책관 지방세분석과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110035,110,Y,지방재정정책관 재정정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110036,110,Y,정책평가담당관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110037,110,Y,자치제도정책관 지방공무원과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110038,110,Y,전자정부국 전자정부정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110039,110,Y,행정자치부 지방세특례제도과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110040,110,Y,지방소득소비세제과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110041,110,N,한국정보화진흥원,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110042,110,Y,사회재난대응정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110043,110,Y,지방세제정책관 지방세정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110044,110,Y,지역발전정책관 생활공간정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110045,110,Y,디지털정부국 국제디지털협력과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110046,110,Y,국립재난안전 연구원,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110047,110,Y,주민과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
110048,110,Y,디지털정부국 디지털정부기획과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111,,N,법무부,Ministry of Justice,,https://www.moj.go.kr/,,N,N,21101111,설립근거,1211011,중앙행정기관,Y
111000,111,Y,법무부 기타,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111001,111,Y,법무부 관찰과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111002,111,Y,법무부 체류심사과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111003,111,Y,법무부 출국관리과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111004,111,Y,법무부 출국심사과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111005,111,Y,법무부 형사기획과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111006,111,Y,법무부 교정1과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111007,111,Y,법무부 보안관리과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111008,111,Y,법무부 송무과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111009,111,Y,법무부 소년제2과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111010,111,Y,법무부 출입국심사과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111011,111,Y,기획조정실 기획재정담당관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111012,111,Y,기획조정실 비상계획관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111013,111,Y,기획조정실 행정관리담당관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111014,111,Y,기획조정실 시설담당관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111015,111,Y,기획조정실 정보화담당관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111016,111,Y,기획조정실 형사사법공통시스템운영단,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111017,111,Y,기획조정실 성과고객팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111018,111,Y,법무실 법무심의관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111019,111,Y,법무실 법무과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111020,111,Y,법무실 국제법무과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111021,111,Y,법무실 국가송무과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111022,111,Y,법무실 통일법무과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111023,111,Y,법무실 상사법무과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111024,111,Y,법무실 법조인력과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111025,111,Y,검찰국 검찰과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111026,111,Y,검찰국 형사기획과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111027,111,Y,검찰국 공안기획과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111028,111,Y,검찰국 국제형사과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111029,111,Y,검찰국 형사법제과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111030,111,Y,범죄예방정책국 범죄예방기획과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111031,111,Y,범죄예방정책국 법질서선진화과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111032,111,Y,범죄예방정책국 보호법제과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111033,111,Y,범죄예방정책국 소년과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111034,111,Y,범죄예방정책국 보호관찰과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111035,111,Y,감찰관 감찰담당관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
111036,111,Y,감찰관 감사담당관,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
